nc	pc	oct	accid	dur	tie	chord	part	meas	beat	beatIndex
1	2	5	NA	4	NA	0	1	47	1	142
0	0	5	NA	4	NA	0	1	47	2	143
6	11	4	n	1	NA	0	1	48	0	144
4	7	4	NA	1	NA	0	1	48	0.25	144.25
5	9	4	NA	1	NA	0	1	48	0.5	144.5
6	11	4	NA	1	NA	0	1	48	0.75	144.75
0	0	5	NA	1	NA	0	1	48	1	145
1	2	5	NA	1	NA	0	1	48	1.25	145.25
2	4	5	NA	1	NA	0	1	48	1.5	145.5
3	6	5	s	1	NA	0	1	48	1.75	145.75
4	7	5	NA	1	NA	0	1	48	2	146
3	6	5	NA	1	NA	0	1	48	2.25	146.25
4	7	5	NA	1	NA	0	1	48	2.5	146.5
3	6	5	NA	1	NA	0	1	48	2.75	146.75
4	7	5	NA	4	NA	0	1	49	0	147
NA	NA	NA	NA	2	NA	0	1	49	1	148
6	11	5	n	2	NA	0	1	49	1.5	148.5
6	11	5	NA	2	NA	0	1	49	2	149
0	0	6	NA	2	NA	0	1	49	2.5	149.5
6	11	5	n	1	NA	0	1	50	0	150
4	7	4	NA	1	NA	0	1	50	0.25	150.25
5	9	4	NA	1	NA	0	1	50	0.5	150.5
6	11	4	n	1	NA	0	1	50	0.75	150.75
0	0	5	NA	1	NA	0	1	50	1	151
1	2	5	NA	1	NA	0	1	50	1.25	151.25
2	4	5	NA	1	NA	0	1	50	1.5	151.5
3	6	5	s	1	NA	0	1	50	1.75	151.75
4	7	5	NA	1	NA	0	1	50	2	152
3	6	5	NA	1	NA	0	1	50	2.25	152.25
4	7	5	NA	1	NA	0	1	50	2.5	152.5
3	6	5	NA	1	NA	0	1	50	2.75	152.75
4	7	5	NA	4	NA	0	1	51	0	153
NA	NA	NA	NA	2	NA	0	1	51	1	154
6	11	5	n	2	NA	0	1	51	1.5	154.5
6	11	5	NA	2	NA	0	1	51	2	155
0	0	6	NA	2	NA	0	1	51	2.5	155.5
6	11	5	n	2	NA	0	1	52	0	156
4	7	3	NA	1	NA	0	1	52	0.5	156.5
5	9	3	NA	1	NA	0	1	52	0.75	156.75
6	11	3	n	1	NA	0	1	52	1	157
0	0	4	NA	1	NA	0	1	52	1.25	157.25
1	2	4	NA	1	NA	0	1	52	1.5	157.5
2	4	4	NA	1	NA	0	1	52	1.75	157.75
3	6	4	s	1	NA	0	1	52	2	158
4	7	4	NA	1	NA	0	1	52	2.25	158.25
3	6	4	NA	1	NA	0	1	52	2.5	158.5
4	7	4	NA	1	NA	0	1	52	2.75	158.75
4	7	4	NA	1	NA	0	1	53	0	159
4	7	4	NA	1	NA	0	1	53	0.25	159.25
5	9	4	NA	1	NA	0	1	53	0.5	159.5
6	11	4	n	1	NA	0	1	53	0.75	159.75
0	0	5	NA	1	NA	0	1	53	1	160
1	2	5	NA	1	NA	0	1	53	1.25	160.25
2	4	5	NA	1	NA	0	1	53	1.5	160.5
3	6	5	s	1	NA	0	1	53	1.75	160.75
4	7	5	NA	1	NA	0	1	53	2	161
3	6	5	NA	1	NA	0	1	53	2.25	161.25
4	7	5	NA	1	NA	0	1	53	2.5	161.5
3	6	5	NA	1	NA	0	1	53	2.75	161.75
4	7	5	NA	2	NA	0	1	54	0	162
4	7	5	NA	4	NA	0	1	54	0.5	162.5
4	7	5	NA	4	NA	0	1	54	1.5	163.5
4	7	5	NA	2	start	0	1	54	2.5	164.5
4	8	5	s	2	NA	0	1	55	0	165
4	8	5	NA	4	NA	0	1	55	0.5	165.5
4	8	5	NA	4	NA	0	1	55	1.5	166.5
4	8	5	NA	2	NA	0	1	55	2.5	167.5
5	9	5	NA	2	NA	0	1	56	0	168
5	9	5	NA	2	NA	0	1	56	0.5	168.5
3	5	5	NA	2	NA	0	1	56	1	169
3	5	5	NA	2	NA	0	1	56	1.5	169.5
1	2	5	NA	2	NA	0	1	56	2	170
1	2	5	NA	2	NA	0	1	56	2.5	170.5
6	11	4	n	2	NA	0	1	57	0	171
6	11	4	NA	2	NA	0	1	57	0.5	171.5
4	7	4	NA	2	NA	0	1	57	1	172
4	7	4	NA	2	NA	0	1	57	1.5	172.5
6	11	4	NA	2	NA	0	1	57	2	173
6	11	4	NA	2	NA	0	1	57	2.5	173.5
0	0	5	NA	2	NA	0	1	58	0	174
0	0	5	NA	2	NA	0	1	58	0.5	174.5
1	2	5	NA	2	NA	0	1	58	1	175
1	2	5	NA	2	NA	0	1	58	1.5	175.5
2	4	5	NA	2	NA	0	1	58	2	176
2	4	5	NA	2	NA	0	1	58	2.5	176.5
4	7	5	NA	4	NA	0	1	59	0	177
3	5	5	NA	4	NA	0	1	59	1	178
NA	NA	NA	NA	4	NA	0	1	59	2	179
NA	NA	NA	NA	12	NA	0	1	60	0	180
NA	NA	NA	NA	4	NA	0	1	61	0	183
NA	NA	NA	NA	4	NA	0	1	61	1	184
4	8	5	s	4	NA	0	1	61	2	185
5	9	5	NA	4	NA	0	1	62	0	186
0	0	6	NA	4	NA	0	1	62	1	187
3	6	5	s	4	NA	0	1	62	2	188
5	9	5	NA	4	NA	0	1	63	0	189
4	7	5	NA	2	NA	0	1	63	1	190
NA	NA	NA	NA	2	NA	0	1	63	1.5	190.5
NA	NA	NA	NA	4	NA	0	1	63	2	191
NA	NA	NA	NA	12	NA	0	1	64	0	192
NA	NA	NA	NA	4	NA	0	1	65	0	195
NA	NA	NA	NA	4	NA	0	1	65	1	196
3	5	5	NA	2	NA	0	1	65	2	197
3	5	5	NA	2	NA	0	1	65	2.5	197.5
2	4	5	NA	2	NA	0	1	66	0	198
2	4	5	NA	2	NA	0	1	66	0.5	198.5
1	2	5	NA	2	NA	0	1	66	1	199
1	2	5	NA	2	NA	0	1	66	1.5	199.5
0	0	5	NA	2	NA	0	1	66	2	200
0	0	5	NA	2	NA	0	1	66	2.5	200.5
0	0	5	NA	4	NA	0	1	67	0	201
6	11	4	n	2	NA	0	1	67	1	202
NA	NA	NA	NA	2	NA	0	1	67	1.5	202.5
NA	NA	NA	NA	4	NA	0	1	67	2	203
NA	NA	NA	NA	4	NA	0	1	68	0	204
NA	NA	NA	NA	4	NA	0	1	68	1	205
5	8	5	f	4	start	0	1	68	2	206
5	9	5	NA	4	NA	0	1	69	0	207
4	7	5	NA	4	NA	0	1	69	1	208
0	0	6	NA	4	NA	0	1	69	2	209
0	0	6	NA	8	NA	0	1	70	0	210
1	2	6	NA	3	NA	0	1	70	2	212
6	11	5	n	1	NA	0	1	70	2.75	212.75
0	0	6	NA	4	NA	0	1	71	0	213
NA	NA	NA	NA	4	NA	0	1	71	1	214
NA	NA	NA	NA	4	NA	0	1	71	2	215
2	4	5	NA	6	NA	0	1	72	0	216
3	5	5	NA	1	NA	0	1	72	1.5	217.5
2	4	5	NA	1	NA	0	1	72	1.75	217.75
1	2	5	NA	2	NA	0	1	72	2	218
0	0	5	NA	2	NA	0	1	72	2.5	218.5
6	11	4	n	4	NA	0	1	73	0	219
NA	NA	NA	NA	4	NA	0	1	73	1	220
NA	NA	NA	NA	4	NA	0	1	73	2	221
3	5	5	NA	6	NA	0	1	74	0	222
4	7	5	NA	1	NA	0	1	74	1.5	223.5
3	5	5	NA	1	NA	0	1	74	1.75	223.75
2	4	5	NA	2	NA	0	1	74	2	224
1	2	5	NA	2	NA	0	1	74	2.5	224.5
0	1	5	s	4	NA	0	1	75	0	225
NA	NA	NA	NA	4	NA	0	1	75	1	226
NA	NA	NA	NA	4	NA	0	1	75	2	227
6	10	5	NA	4	start	0	1	76	0	228
6	10	5	NA	2	stop	0	1	76	1	229
5	9	5	NA	1	NA	0	1	76	1.5	229.5
4	7	5	NA	1	NA	0	1	76	1.75	229.75
