Time_s   F0_Hz
0.993296   200.327645
0.995796   200.291846
0.998296   197.866934
1.000796   197.565953
1.003296   196.247413
1.005796   196.220252
1.008296   197.304293
1.010796   197.494893
1.013296   198.178214
1.015796   198.318379
1.018296   198.854291
1.020796   198.958908
1.023296   199.493916
1.025796   199.734842
1.028296   200.842488
1.030796   201.185544
1.033296   202.524663
1.035796   202.780052
1.038296   203.944374
1.040796   204.118126
1.043296   204.955085
1.045796   205.323550
1.048296   205.897865
1.050796   206.267673
1.053296   207.456237
1.055796   208.356818
1.058296   210.069427
1.060796   210.724832
1.063296   211.995384
1.065796   212.842617
1.068296   213.982511
1.070796   215.528717
1.073296   216.521124
1.075796   218.583541
1.078296   219.596275
1.080796   222.016030
1.083296   222.510427
1.085796   224.341022
1.088296   225.057737
1.090796   225.579724
1.093296   226.103760
1.095796   226.480767
1.098296   226.917779
1.100796   227.262621
1.103296   227.849292
1.105796   227.853965
1.108296   227.763660
1.110796   227.376705
1.113296   226.897862
1.115796   226.500648
1.118296   226.292085
1.120796   226.130276
1.123296   226.029569
1.125796   225.762979
1.128296   225.461010
1.130796   225.201521
1.133296   224.859429
1.135796   224.817300
1.138296   225.129741
1.140796   225.131109
1.143296   225.582376
1.145796   225.951454
1.148296   226.432367
1.150796   226.803914
1.153296   227.121117
1.155796   227.512011
1.158296   227.704926
1.160796   228.476081
1.163296   228.843329
1.165796   229.633408
1.168296   230.036389
1.170796   230.478096
1.173296   231.270698
1.175796   231.514993
1.178296   232.427737
1.180796   232.885711
1.183296   233.314533
1.185796   233.470453
1.188296   233.791926
1.190796   234.247105
1.193296   234.429955
1.195796   234.629904
1.198296   234.689612
1.200796   234.789196
1.203296   235.111196
1.205796   235.335154
1.208296   235.749121
1.210796   235.839901
1.213296   235.894205
1.215796   235.878884
1.218296   235.859534
1.220796   235.813612
1.223296   235.488604
1.225796   235.138211
1.228296   234.174684
1.230796   233.100576
1.233296   232.466359
1.235796   231.823046
1.238296   231.687715
1.240796   231.527613
1.243296   230.232000
1.245796   230.079998
1.248296   227.261611
1.250796   226.789485
1.253296   225.210814
1.255796   224.921221
1.258296   223.399595
1.260796   221.293117
1.263296   220.358348
1.265796   219.702994
1.268296   219.662554
1.270796   218.840864
1.273296   217.589502
1.275796   216.122401
1.278296   215.472971
1.280796   212.919072
1.283296   211.988488
1.285796   210.718130
1.288296   219.839110
1.290796   218.849073
1.293296   213.597912
1.295796   213.358091
1.298296   194.285891
1.300796   194.006971
1.303296   182.604551
1.305796   182.855583
1.308296   184.973617
1.310796   184.513556
1.313296   184.452683
1.315796   184.690710
1.318296   180.331178
1.320796   179.965557
1.323296   179.208403
1.325796   178.413715
1.328296   179.544373
1.330796   180.791793
1.333296   188.931656
1.335796   190.089242
1.338296   201.109675
1.340796   202.851247
1.343296   202.355397
1.345796   202.221026
1.348296   200.755856
1.350796   201.958184
1.353296   204.144016
1.355796   205.946760
1.358296   207.671266
1.360796   208.826575
1.363296   208.942858
1.365796   209.061790
1.368296   208.791738
1.370796   208.209296
1.373296   208.700653
1.375796   209.840094
1.378296   210.171814
1.380796   209.907631
1.383296   211.444504
1.385796   208.656025
1.388296   208.952837
1.390796   209.418909
1.393296   210.322165
1.395796   211.500624
1.398296   212.313919
1.400796   214.295760
1.403296   213.197127
1.405796   215.572880
1.408296   216.968506
1.410796   221.053458
1.413296   221.892438
1.415796   220.524823
1.418296   220.826887
1.420796   217.951907
1.423296   215.824691
1.425796   213.574442
1.428296   212.069812
1.430796   209.957423
1.433296   209.065155
1.435796   208.566213
1.438296   208.412021
1.440796   208.726148
1.443296   208.668839
1.445796   208.936652
1.448296   208.645946
1.450796   208.670394
1.453296   208.604798
1.455796   208.419492
1.458296   208.351499
1.460796   208.693003
1.463296   209.337369
1.465796   209.496240
1.468296   209.129464
1.470796   209.267435
1.473296   207.513208
1.475796   204.728922
1.478296   213.078648
1.480796   213.790905
1.483296   213.238473
1.485796   213.381720
1.488296   213.648083
1.490796   213.642584
1.493296   213.977333
