year	artist	titleCode	title	album	type	era	inRevisedCorpus	inOriginalCorpus	newToTranscribe	lyrics	audio downloaded
2010	The Roots		let it be	hope for haiti now	roots_single	3	0	0			
2011	The Roots		make my	undun	roots_single	3	0	1			
1995	The Roots		Proceed	Do You Want More	roots_single	1	0	0			
2008	The Roots		rising up	rising down	roots_single	2	0	0			
2010	The Roots		shine	wake up	roots_single	3	0	0			
1995	The Roots	silentTreatment	Silent Treatment	Do You Want More	roots_single	1	1	0	1	1	1
2004	The Roots		stay cool	the tipping point	roots_single	2	0	0			
2010	The Roots		the fire	how i got over	roots_single	3	1	1			
1999	The Roots		The Next Movement	the legendary EP	roots_single	1	0	0			
2002	The Roots		the seed 2.0	phrenology	roots_single	2	0	0			
2011	The Roots		tip the scale	undun	roots_single	3	0	1			
2010	The Roots		wake up everybody	wake up	roots_single	3	0	0			
2010	The Roots		"well, well, well"	endlessly	roots_single	3	0	0			
1996	The Roots		What They Do	Illadelph Halflife	roots_single	1	0	0			
2014	The Roots		when the people cheer	and then you shoot your cousin	roots_single	3	0	0			
1999	The Roots		you got me	things fall apart	roots_single	1	0	0			
