syllable	position	measure	cardinality	corpus	verse
it	15	10	16	genre1	lightersUp
kid	6	6	16	genre1	lightersUp
nap	7	6	16	genre1	lightersUp
like	10	7	16	genre1	makeThaTrap
through	4	10	16	genre1	makeThaTrap
ev-	5	10	16	genre1	makeThaTrap
that	13	10	16	genre1	mcsActLike
kers	14	5	16	genre1	mcsActLike
leb-	15	5	16	genre1	mcsActLike
bron	0	6	16	genre1	mcsActLike
know	0	1	16	genre1	mcsActLike
me	1	1	16	genre1	mcsActLike
know	12	1	16	genre1	mcsActLike
me	13	1	16	genre1	mightyHealthy
teen	11	5	16	genre1	mightyHealthy
you	5	24	16	genre1	mightyHealthy
is	6	24	16	genre1	mightyHealthy
ty	5	1	16	genre1	mightyHealthy
in-	10	7	16	genre1	mightyHealthy
to	11	7	16	genre1	mightyHealthy
al-	11	8	16	genre1	mightyHealthy
lah	12	8	16	genre1	mightyHealthy
cell	6	10	16	genre1	mightyHealthy
come	3	12	16	genre1	mightyHealthy
pul-	14	14	16	genre1	mightyHealthy
sar	15	14	16	genre1	mightyHealthy
god	4	16	16	genre1	myChickBad
damn	5	16	16	genre1	myChickBad
king	14	16	16	genre1	myChickBad
me	15	16	16	genre1	myChickBad
seen	12	7	16	genre1	myCrew
her	13	7	16	genre1	myCrew
no	0	11	16	genre1	myCrew
time	1	11	16	genre1	myCrew
feel	10	5	16	genre1	myCrew
me	11	5	16	genre1	myCrew
ya'll	4	13	16	genre1	myCrew
done	5	13	16	genre1	myCrew
to	14	13	16	genre1	myCrew
scream	15	13	16	genre1	myCrew
on	0	14	16	genre1	myCrew
us	1	14	16	genre1	myCrew
and	2	14	16	genre1	myOpinion
to	12	14	16	genre1	myOpinion
us	13	14	16	genre1	myOpinion
in	14	14	16	genre1	myOpinion
mall	0	1	16	genre1	myOpinion
man	1	1	16	genre1	myOpinion
fold	0	5	16	genre1	myOpinion
us	1	5	16	genre1	myOpinion
have	8	5	16	genre1	myOpinion
that	9	5	16	genre1	myOpinion
bust	8	6	16	genre1	myOpinion
back	9	6	16	genre1	myOpinion
ty	10	9	16	genre1	myOpinion
me	9	15	16	genre1	noLoveAlsina
teen	13	16	16	genre1	oneFor
mall	0	18	16	genre1	oneFor
man	1	18	16	genre1	oneFor
so	8	16	16	genre1	oneFor
streets	1	4	16	genre1	oneFor
will	2	4	16	genre1	oneFor
i	6	7	16	genre1	oneFor
heart	7	7	16	genre1	payForIt
that	8	7	16	genre1	payForIt
play	13	13	16	genre1	payForIt
with	14	13	16	genre1	payForIt
i	6	1	16	genre1	payForIt
stroll	7	1	16	genre1	payForIt
on	8	1	16	genre1	payForIt
one	9	2	16	genre1	payForIt
with	10	2	16	genre1	payForIt
stand	14	2	16	genre1	payForIt
toe	15	2	16	genre1	payForIt
to	0	3	16	genre1	payForIt
toe	1	3	16	genre1	payForIt
with	2	3	16	genre1	payForIt
voo-	10	6	16	genre1	payForIt
doo	11	6	16	genre1	payForIt
and	8	8	16	genre1	payForIt
turn	9	8	16	genre1	pimpinAint
up	11	8	16	genre1	pimpinAint
stop	14	13	16	genre1	pimpinAint
me	15	13	16	genre1	pimpinAint
third	14	2	16	genre1	pimpinAint
leg	15	2	16	genre1	pimpinAint
is	0	3	16	genre1	pimpinAint
hoes	4	4	16	genre1	pimpinAint
clean	5	4	16	genre1	pimpinAint
taste	12	5	16	genre1	secondRound
it	13	5	16	genre1	secondRound
fuck	15	10	16	genre1	secondRound
a	0	11	16	genre1	secondRound
bitch	0	3	16	genre1	selfTaught
move	1	3	16	genre1	selfTaught
ain't	8	10	16	genre1	selfTaught
got	9	10	16	genre1	selfTaught
y	6	7	16	genre1	selfTaught
pin	6	9	16	genre1	selfTaught
sing	8	9	16	genre1	selfTaught
off	9	9	16	genre1	selfTaught
crew	8	14	16	genre1	selfTaught
don't	9	14	16	genre1	setItOff
tion	13	16	16	genre1	setItOff
is	10	20	16	genre1	setItOff
won	11	20	16	genre1	setItOff
beast	12	7	16	genre1	setItOff
mode	13	7	16	genre1	setItOff
snap	8	10	16	genre1	sexStyle
ya	9	10	16	genre1	sexStyle
fin	7	15	16	genre1	sexStyle
take	8	15	16	genre1	sexStyle
down	4	4	16	genre1	sexStyle
on	5	4	16	genre1	sexStyle
jerk	12	7	16	genre1	sexStyle
off	13	7	16	genre1	sexStyle
bust	12	8	16	genre1	sexStyle
off	13	8	16	genre1	sexStyle
cape	4	15	16	genre1	sexyLove
on	5	15	16	genre1	sexyLove
should	10	18	16	genre1	sexyLove
let	11	18	16	genre1	sexyLove
she	14	1	16	genre1	sexyLove
hit	15	1	16	genre1	sexyLove
and	3	2	16	genre1	sexyLove
to	3	2	16	genre1	sexyLove
bleeped	4	2	16	genre1	sexyLove
him	5	2	16	genre1	sexyLove
peeped	8	2	16	genre1	sexyLove
him	9	2	16	genre1	sexyLove
base-	14	2	16	genre1	sexyLove
to	3	3	16	genre1	sexyLove
beat	4	3	16	genre1	sexyLove
him	5	3	16	genre1	sexyLove
leak	8	3	16	genre1	sexyLove
him	9	3	16	genre1	sexyLove
me	14	5	16	genre1	sexyLove
lick	15	5	16	genre1	sexyLove
and	0	6	16	genre1	sexyLove
dip	1	6	16	genre1	sexyLove
in	2	6	16	genre1	shutterbugg
fore	14	6	16	genre1	shutterbugg
want	8	7	16	genre1	shutterbugg
me	9	7	16	genre1	shutterbugg
shit	6	9	16	genre1	shutterbugg
cooked	7	9	16	genre1	shutterbugg
the	6	11	16	genre1	stayFly
es-	7	11	16	genre1	stayFly
says	8	11	16	genre1	stayFly
en	10	12	16	genre1	stayFly
know	8	1	16	genre1	stayFly
I'm	9	1	16	genre1	stayFly
bump	8	2	16	genre1	stayFly
in	9	2	16	genre1	stayFly
know	8	3	16	genre1	stayFly
it's	9	3	16	genre1	stayFly
say	8	5	16	genre1	stayFly
I'm	9	5	16	genre1	stayFly
ice	8	6	16	genre1	stayFly
in	9	6	16	genre1	stayFly
get	8	12	16	genre1	stayFly
on	9	12	16	genre1	stayFly
get	8	13	16	genre1	stayFly
in	9	13	16	genre1	stayFly
know	8	14	16	genre1	stayFly
I'm	9	14	16	genre1	stayFly
back	8	15	16	genre1	sunshine
in	9	15	16	genre1	sunshine
v	0	16	16	genre1	sunshine
i	1	16	16	genre1	sunshine
sun	12	1	16	genre1	sunshine
don't	13	1	16	genre1	sunshine
but	6	4	16	genre1	sunshine
must	7	4	16	genre1	sunshine
i	8	4	16	genre1	sunshine
keep	9	4	16	genre1	sunshine
her	10	4	16	genre1	sunshine
in	11	4	16	genre1	sunshine
bay	4	6	16	genre1	sunshine
bay	5	6	16	genre1	thatsHowItIs
things	0	7	16	genre1	thatsHowItIs
i	1	7	16	genre1	thatsHowItIs
must	4	7	16	genre1	thatsHowItIs
when	8	1	16	genre1	thatsHowItIs
nig-	9	1	16	genre1	thatsHowItIs
dis	12	8	16	genre1	theBreaks
em	13	8	16	genre1	theBreaks
in-	10	14	16	genre1	theDayTheyMakeMe
to	11	14	16	genre1	theDayTheyMakeMe
with	4	3	16	genre1	theDayTheyMakeMe
him	5	3	16	genre1	theDayTheyMakeMe
slow	8	2	16	genre1	theDayTheyMakeMe
though	9	2	16	genre1	theDayTheyMakeMe
four	0	3	16	genre1	theDayTheyMakeMe
door	1	3	16	genre1	theDayTheyMakeMe
dra	7	3	16	genre1	theDayTheyMakeMe
stead-	3	14	16	genre1	theDayTheyMakeMe
gun	8	14	16	genre1	theGoodFight
blast	9	14	16	genre1	theGoodFight
a	8	15	16	genre1	theGoodFight
k	9	15	16	genre1	theGoodFight
a	0	2	16	genre1	theGoodFight
m	1	2	16	genre1	theGoodFight
shit	0	5	16	genre1	theGoodFight
live	0	21	16	genre1	theGoodFight
out	1	21	16	genre1	theGoodFight
ear	4	22	16	genre1	theMagicClap
all	5	22	16	genre1	theShowGoesOn
sell	10	23	16	genre1	theShowGoesOn
out	11	23	16	genre1	theShowGoesOn
got	9	6	16	genre1	thugLove
let	8	8	16	genre1	thugLove
no-	9	8	16	genre1	thugLove
bo-	10	8	16	genre1	thugLove
you	14	1	16	genre1	thugLove
taught	15	1	16	genre1	thugLove
me	0	2	16	genre1	thugLove
you	6	2	16	genre1	thugLove
brought	7	2	16	genre1	thugLove
me	8	2	32	genre1	thugLove
cause	6	3	16	genre1	thugLove
all	7	3	16	genre1	thugLove
we	8	3	16	genre1	thugLove
mur	11	9	16	genre1	thugLove
lit-	5	10	16	genre1	thugLove
get	1	11	16	genre1	thugLove
breath	6	12	16	genre1	thugLove
fol	7	12	16	genre1	thugLove
clare	8	13	16	genre1	twentyFiveBucks
war	8	14	16	genre1	twentyFiveBucks
?	12	14	16	genre1	twentyFiveBucks
o-	13	14	16	genre1	twentyFiveBucks
car-	3	1	16	genre1	twentyFiveBucks
smok-	5	2	16	genre1	twentyFiveBucks
phone	8	2	16	genre1	twentyFiveBucks
gos-	9	2	16	genre1	twentyFiveBucks
ping	10	2	16	genre1	twentyFiveBucks
tel-	11	2	16	genre1	twentyFiveBucks
home	12	2	16	genre1	twentyFiveBucks
te-	13	3	16	genre1	twentyFiveBucks
ma	0	4	16	genre1	twentyFiveBucks
lied	1	4	16	genre1	twentyFiveBucks
do	2	4	16	genre1	twentyFiveBucks
drugs	14	4	16	genre1	twentyFiveBucks
do-	15	4	16	genre1	twentyFiveBucks
hair	0	5	16	genre1	twentyFiveBucks
back	6	6	16	genre1	twentyFiveBucks
ash-	7	6	16	genre1	twentyFiveBucks
her	8	6	16	genre1	twentyFiveBucks
ci-	9	6	16	genre1	twentyFiveBucks
brown	12	6	16	genre1	twentyFiveBucks
pa-	13	6	16	genre1	twentyFiveBucks
bag	14	6	16	genre1	twentyFiveBucks
smok-	15	6	16	genre1	twentyFiveBucks
joints	0	7	16	genre1	twentyFiveBucks
laug-	1	7	16	genre1	twentyFiveBucks
hot	14	7	16	genre1	twentyFiveBucks
co-	15	7	16	genre1	twentyFiveBucks
stove	0	8	16	genre1	underPressure
that's	6	8	16	genre1	underPressure
ma-	7	8	16	genre1	underPressure
nights	8	8	16	genre1	underPressure
backs	0	1	16	genre1	underPressure
kool	10	1	16	genre1	underPressure
aid	11	1	16	genre1	underPressure
school	15	1	16	genre1	underPressure
with	0	2	16	genre1	underPressure
sy	5	4	16	genre1	underPressure
in	6	4	16	genre1	underPressure
my	7	4	16	genre1	underPressure
who	15	4	16	genre1	underPressure
with	5	5	16	genre1	underPressure
me	6	5	16	genre1	underPressure
man	7	5	16	genre1	underPressure
cake	1	7	16	genre1	underPressure
like	2	7	16	genre1	underPressure
bitch	9	7	16	genre1	underPressure
i	10	7	16	genre1	underPressure
made	11	7	16	genre1	underPressure
it	12	7	16	genre1	underPressure
write	13	8	16	genre1	underPressure
it	14	8	16	genre1	underPressure
it	6	9	16	genre1	underPressure
press	7	9	16	genre1	underPressure
it	8	9	16	genre1	underPressure
up	9	9	16	genre1	underPressure
feel	13	9	16	genre1	underPressure
like	14	9	16	genre1	underPressure
i	1	11	16	genre1	underPressure
i	9	11	16	genre1	underPressure
can'	10	11	16	genre1	underPressure
spare	11	11	16	genre1	underPressure
eight	7	15	16	genre1	underPressure
i	8	15	16	genre1	underPressure
know	9	15	16	genre1	underPressure
you	10	15	16	genre1	underPressure
feel	11	15	16	genre1	underPressure
this	12	15	16	genre1	underPressure
on	13	15	16	genre1	underPressure
the	14	15	16	genre1	underPressure
come	15	15	16	genre1	underPressure
up	0	16	16	genre1	underPressure
where	1	16	16	genre1	unity
they	2	16	16	genre1	unity
run	3	16	16	genre1	unity
up	4	16	16	genre1	unity
some	13	7	16	genre1	unity
why	12	8	16	genre1	unity
i'm	13	8	16	genre1	unity
one	3	12	16	genre1	unity
of	4	12	16	genre1	unity
round	4	13	16	genre1	unity
some	7	13	16	genre1	unity
bo	8	13	16	genre1	waterWhippin
dy	9	13	16	genre1	waterWhippin
said	10	16	16	genre1	waterWhippin
who	11	16	16	genre1	waterWhippin
may	1	3	16	genre1	waterWhippin
day	2	3	16	genre1	waterWhippin
may	3	3	16	genre1	waterWhippin
day	4	3	16	genre1	waterWhippin
its	5	3	16	genre1	waterWhippin
my	6	3	16	genre1	waterWhippin
pay	7	3	16	genre1	waterWhippin
day	8	3	16	genre1	waterWhippin
get	8	12	16	genre1	waterWhippin
it	9	12	16	genre1	waterWhippin
i'm	11	12	16	genre1	waterWhippin
so	12	12	16	genre1	waterWhippin
with	14	12	16	genre1	weGonnaMakeIt
it	15	12	16	genre1	weGonnaMakeIt
in	8	14	16	genre1	weGonnaMakeIt
em	9	14	16	genre1	weGonnaMakeIt
at	3.5	3	16	genre1	weGonnaMakeIt
and	6.5	3	16	genre1	weGonnaMakeIt
at	9.5	3	16	genre1	weGonnaMakeIt
it	9.5	4	16	genre1	weGonnaMakeIt
to	6	5	16	genre1	weGonnaMakeIt
pull	7	5	16	genre1	weGonnaMakeIt
it	8	5	16	genre1	weGonnaMakeIt
few	9.5	17	16	genre1	whattaMan
kiss	5	18	16	genre1	whattaMan
right	9.5	18	16	genre1	whattaMan
just	2.5	19	16	genre1	whattaMan
al-	12	2	16	genre1	whattaMan
though	13	2	16	genre1	whattaMan
men	1	3	16	genre1	whattaMan
flows	6	3	16	genre1	whattaMan
on	7	3	16	genre1	whattaMan
sweat	0	5	16	genre1	whattaMan
it	1	5	16	genre1	whattaMan
let	12	5	16	genre1	whattaMan
it	13	5	16	genre1	whattaMan
ain't	4	7	16	genre1	whattaMan
no-	5	7	16	genre1	whattaMan
bo-	6	7	16	genre1	whattaMan
dy	7	7	16	genre1	whattaMan
per-	8	7	16	genre1	whatTheyDo
fect	9	7	16	genre1	whatTheyDo
worth	13	8	16	genre1	whatTheyDo
it	14	8	16	genre1	whatTheyDo
tu-	4	4	16	genre1	whoa
em	14	7	16	genre1	wontonSoup
some	9	8	16	genre1	wontonSoup
fi-	0	11	16	genre1	yallReady
up	3	1	16	genre1	yallReady
fuck-	11	7	16	genre1	yallReady
name	12	7	16	genre1	yallReady
weight	4	1	16	genre1	yallReady
up	5	1	16	genre1	yallReady
fuck	8	1	16	genre1	yallReady
y'all	9	1	16	genre1	yallReady
pay	12	1	16	genre1	yallReady
up	13	1	16	genre1	yallReady
stay	12	2	16	genre1	yallReady
up	13	2	16	genre1	yallReady
say	4	3	16	genre1	yallReady
what	5	3	16	genre1	yallReady
wait	8	3	16	genre1	yallReady
up	9	3	16	genre1	yallReady
straight	12	3	16	genre1	yallReady
up	13	3	16	genre1	yallReady
lay	12	4	16	genre1	yallReady
up	13	4	16	genre1	yallReady
n	4	8	16	genre1	yallReady
y	5	8	16	genre1	yallReady
let	14	11	16	genre1	yallReady
em	15	11	16	genre1	yallReady
suck	1	12	16	genre1	yallReady
on	2	12	16	genre1	yallReady
and	6	12	16	genre1	yallReady
pray	7	12	16	genre1	yallReady
that	8	12	16	genre1	yallReady
in	14	12	16	genre1	yallReady
em	15	12	16	genre1	yallReady
pour	15	13	16	genre1	yallReady
a	0	14	16	genre1	yallReady
cup	1	14	16	genre1	yallReady
of	2	14	16	genre1	yallReady
e	3	14	16	genre1	yallReady
and	4	14	16	genre1	yallReady
j	5	14	16	kendrickLamar	artOfPeerPressure1
and	6	14	16	kendrickLamar	artOfPeerPressure1
light	7	14	16	kendrickLamar	artOfPeerPressure1
up	8	14	16	kendrickLamar	artOfPeerPressure1
me	1	1	16	kendrickLamar	artOfPeerPressure1
and	2	1	16	kendrickLamar	artOfPeerPressure1
four	6	1	16	kendrickLamar	artOfPeerPressure1
deep	7	1	16	kendrickLamar	artOfPeerPressure1
in	8	1	16	kendrickLamar	artOfPeerPressure1
the	6	3	16	kendrickLamar	artOfPeerPressure1
fe-	7	3	16	kendrickLamar	artOfPeerPressure1
will	11	3	16	kendrickLamar	artOfPeerPressure1
roll	12	3	16	kendrickLamar	artOfPeerPressure1
up	13	3	16	kendrickLamar	artOfPeerPressure1
we	1	5	16	kendrickLamar	artOfPeerPressure1
on	2	5	16	kendrickLamar	artOfPeerPressure1
i	14	5	16	kendrickLamar	artOfPeerPressure1
hope	15	5	16	kendrickLamar	artOfPeerPressure1
verse	3	6	16	kendrickLamar	artOfPeerPressure1
love	4	6	16	kendrickLamar	artOfPeerPressure1
you	5	6	16	kendrickLamar	artOfPeerPressure1
we	6	10	16	kendrickLamar	artOfPeerPressure1
know	7	10	16	kendrickLamar	artOfPeerPressure1
you	8	10	16	kendrickLamar	artOfPeerPressure1
think	9	10	16	kendrickLamar	artOfPeerPressure1
its	10	10	16	kendrickLamar	artOfPeerPressure1
ac-	12	10	16	kendrickLamar	artOfPeerPressure1
cent	13	10	16	kendrickLamar	artOfPeerPressure1
i	6	11	16	kendrickLamar	artOfPeerPressure1
see	7	11	16	kendrickLamar	artOfPeerPressure1
is	8	11	16	kendrickLamar	artOfPeerPressure1
pass	12	11	16	kendrickLamar	artOfPeerPressure1
it	13	11	16	kendrickLamar	averageJoe1
the	4	15	16	kendrickLamar	averageJoe1
blunt	5	15	16	kendrickLamar	averageJoe1
in	6	15	16	kendrickLamar	averageJoe1
next	7	2	16	kendrickLamar	averageJoe1
to	8	2	16	kendrickLamar	averageJoe1
each	8	7	16	kendrickLamar	averageJoe1
one	9	7	16	kendrickLamar	averageJoe1
of	10	7	16	kendrickLamar	bitchDont2
in	2	16	16	kendrickLamar	bitchDont2
flu	3	16	16	kendrickLamar	bitchDont2
ence	4	16	16	kendrickLamar	bitchDont2
co	7	2	16	kendrickLamar	bitchDont2
sign	8	2	24	kendrickLamar	bitchDont2
o	11	2	16	kendrickLamar	bitchDont2
does	12	2	24	kendrickLamar	bitchDont2
two	0	4	16	kendrickLamar	bitchDont2
diff	1	4	24	kendrickLamar	bitchDont2
hid	4	10	16	kendrickLamar	celebration3
ev	7	10	16	kendrickLamar	celebration3
hid	12	10	16	kendrickLamar	celebration3
ev	19	10	16	kendrickLamar	celebration3
my	9	13	16	kendrickLamar	celebration3
just	8	14	16	kendrickLamar	celebration3
like	9	14	16	kendrickLamar	celebration3
real	8	15	16	kendrickLamar	celebration3
big	9	15	16	kendrickLamar	celebration3
as	8	19	16	kendrickLamar	colors1
miss	9	19	16	kendrickLamar	colors1
and	8	20	16	kendrickLamar	colors1
pull	9	20	16	kendrickLamar	colors1
rain	1	5	16	kendrickLamar	colors1
on	2	5	16	kendrickLamar	colors1
may	8	6	16	kendrickLamar	colors1
this	9	6	16	kendrickLamar	colors1
per	0	8	16	kendrickLamar	colors1
fect	1	8	16	kendrickLamar	colors1
with	2	8	16	kendrickLamar	colors1
kill	4	14	16	kendrickLamar	colors1
it	5	14	16	kendrickLamar	deadRappers2
hey	4	16	16	kendrickLamar	deadRappers2
that	5	16	16	kendrickLamar	deadRappers2
is	6	16	16	kendrickLamar	deadRappers2
proof	0	5	16	kendrickLamar	deadRappers2
look	1	5	16	kendrickLamar	deadRappers2
what	2	5	16	kendrickLamar	deadRappers2
shit	14	7	16	kendrickLamar	deadRappers2
on	15	7	16	kendrickLamar	deadRappers2
em	0	8	16	kendrickLamar	deadRappers2
and	6	12	16	kendrickLamar	deadRappers2
you	7	12	16	kendrickLamar	deadRappers2
don't	8	12	16	kendrickLamar	deadRappers2
tu	8	13	16	kendrickLamar	determined2
pac	9	13	16	kendrickLamar	determined2
lets	10	14	16	kendrickLamar	determined2
do	11	14	16	kendrickLamar	determined2
head	9	9	16	kendrickLamar	drugsOnTheSchoolyard1
to	10	9	16	kendrickLamar	drugsOnTheSchoolyard1
can	6	15	16	kendrickLamar	drugsOnTheSchoolyard1
say	7	15	16	kendrickLamar	drugsOnTheSchoolyard1
shoot	1	8	16	kendrickLamar	drugsOnTheSchoolyard1
the	2	14	16	kendrickLamar	drugsOnTheSchoolyard1
end	3	14	16	kendrickLamar	drugsOnTheSchoolyard1
and	10	14	16	kendrickLamar	drugsOnTheSchoolyard1
the	11	14	16	kendrickLamar	drugsOnTheSchoolyard1
and	2	15	16	kendrickLamar	drugsOnTheSchoolyard1
give	3	15	16	kendrickLamar	hoc1
i	0	16	16	kendrickLamar	hoc1
am	1	16	16	kendrickLamar	hoc1
moth	6	16	16	kendrickLamar	hoc1
dropped	10	4	16	kendrickLamar	hoc1
out	11	4	16	kendrickLamar	hoc1
of	12	4	16	kendrickLamar	hoc1
o	6	9	16	kendrickLamar	hoc1
tought	9	13	16	kendrickLamar	hoc1
i	10	13	16	kendrickLamar	iAmInterlude1
low	6	14	16	kendrickLamar	iAmInterlude1
cause	7	14	16	kendrickLamar	iAmInterlude1
of	8	14	16	kendrickLamar	iAmInterlude1
me	3	2	16	kendrickLamar	iAmInterlude1
a	10	4	16	kendrickLamar	iAmInterlude1
sword	11	4	16	kendrickLamar	iAmInterlude1
in	12	4	16	kendrickLamar	iAmInterlude1
crans	8	5	16	kendrickLamar	iAmInterlude1
con	6	6	16	kendrickLamar	iAmInterlude1
flict	7	6	16	kendrickLamar	iAmInterlude1
point	15	6	16	kendrickLamar	iAmInterlude1
and	6	7	16	kendrickLamar	iAmInterlude1
gone	7	7	16	kendrickLamar	iAmInterlude1
get	11	7	16	kendrickLamar	iAmInterlude1
near	12	7	16	kendrickLamar	iAmInterlude1
it	13	7	16	kendrickLamar	iAmInterlude1
then	6	9	16	kendrickLamar	iAmInterlude1
round	7	9	16	kendrickLamar	iAmInterlude1
son	14	14	16	kendrickLamar	iAmInterlude1
and	15	14	16	kendrickLamar	iAmInterlude1
so-	0	16	16	kendrickLamar	iAmInterlude1
il	1	16	16	kendrickLamar	iAmInterlude1
this	0	17	16	kendrickLamar	iAmInterlude1
world	1	17	16	kendrickLamar	iAmInterlude1
since	2	17	16	kendrickLamar	iAmInterlude1
made	2	18	16	kendrickLamar	iAmInterlude1
strong	3	18	16	kendrickLamar	iAmInterlude1
stare	3	19	16	kendrickLamar	iAmInterlude1
at	4	19	16	kendrickLamar	iAmInterlude1
then	12	19	16	kendrickLamar	iAmInterlude1
tell	13	19	16	kendrickLamar	iAmInterlude1
him	14	19	16	kendrickLamar	iAmInterlude1
with	4	22	16	kendrickLamar	iAmInterlude1
heart	5	22	16	kendrickLamar	iAmInterlude1
that	11	22	16	kendrickLamar	iAmInterlude1
cant	12	22	16	kendrickLamar	iAmInterlude1
stop	13	22	16	kendrickLamar	iAmInterlude1
it	14	22	16	kendrickLamar	iAmInterlude1
you	0	25	16	kendrickLamar	iAmInterlude1
say	1	25	16	kendrickLamar	iAmInterlude1
it	2	25	16	kendrickLamar	iAmInterlude1
ain't	3	25	16	kendrickLamar	iAmInterlude1
you	4	25	16	kendrickLamar	keishasSong2
may	5	25	16	kendrickLamar	keishasSong2
he	14	26	16	kendrickLamar	keishasSong2
stood	15	26	16	kendrickLamar	keishasSong2
she	6	8	16	kendrickLamar	keishasSong2
took	7	8	16	kendrickLamar	keishasSong2
gave	3	9	16	kendrickLamar	keishasSong2
him	4	9	16	kendrickLamar	keishasSong2
that	12	9	16	kendrickLamar	keishasSong2
filled	13	9	16	kendrickLamar	keishasSong2
him	14	9	16	kendrickLamar	keishasSong2
right	15	9	16	kendrickLamar	keishasSong2
a	14	10	16	kendrickLamar	keishasSong2
pair	15	10	16	kendrickLamar	keishasSong2
he	1	12	16	kendrickLamar	keishasSong2
had	2	12	16	kendrickLamar	keishasSong2
waived	3	12	16	kendrickLamar	momma2
em	4	12	16	kendrickLamar	momma2
parks	8	15	16	kendrickLamar	momma2
ne	9	15	16	kendrickLamar	momma2
thing	9	1	16	kendrickLamar	momma2
know	10	1	16	kendrickLamar	momma2
ty	8	2	16	kendrickLamar	momma2
good	9	2	16	kendrickLamar	momma2
and	10	2	16	kendrickLamar	momma2
haunt	4	3	16	kendrickLamar	momma2
you	5	3	16	kendrickLamar	momma2
meant	11	8	16	kendrickLamar	momma2
i	2	10	16	kendrickLamar	momma2
know	3	10	16	kendrickLamar	momma2
need	12	12	16	kendrickLamar	momma2
re	13	12	16	kendrickLamar	momma2
i	4	14	16	kendrickLamar	momma2
know	5	14	16	kendrickLamar	momma2
you	6	14	16	kendrickLamar	momma2
know	7	14	16	kendrickLamar	momma2
that	8	14	16	kendrickLamar	momma2
lines	9	14	16	kendrickLamar	momma2
school	13	14	16	kendrickLamar	momma2
dis	14	14	16	kendrickLamar	momma2
trict	15	14	16	kendrickLamar	momma2
bout	10	15	16	kendrickLamar	momma2
how	11	15	16	kendrickLamar	momma2
is	12	15	16	kendrickLamar	momma2
i	2	18	16	kendrickLamar	moneyTrees1
know	3	18	16	kendrickLamar	moneyTrees1
the	12	19	16	kendrickLamar	mortalMan1
day	13	19	16	kendrickLamar	mortalMan1
me	5	1	16	kendrickLamar	mortalMan1
and	6	1	16	kendrickLamar	mortalMan1
you	11	2	16	kendrickLamar	mortalMan1
his	8	4	16	kendrickLamar	mortalMan1
cell	9	4	16	kendrickLamar	mortalMan1
is	10	4	16	kendrickLamar	mortalMan1
be	9	6	16	kendrickLamar	mortalMan1
see	10	6	16	kendrickLamar	mortalMan1
by	5	10	16	kendrickLamar	mortalMan1
the	6	10	16	kendrickLamar	mortalMan1
mouth	7	10	16	kendrickLamar	mortalMan1
tomor-	2	12	16	kendrickLamar	mortalMan1
row	3	12	16	kendrickLamar	mortalMan1
put	5	12	16	kendrickLamar	mortalMan1
my	6	12	16	kendrickLamar	mortalMan1
back	7	12	16	kendrickLamar	mortalMan1
shoot	7	15	16	kendrickLamar	mortalMan1
or	8	15	16	kendrickLamar	mortalMan1
you	9	15	16	kendrickLamar	moscato2
oh	5	16	16	kendrickLamar	moscato2
	6	16	16	kendrickLamar	moscato2
know	7	16	16	kendrickLamar	moscato2
fuck	5	1	16	kendrickLamar	moscato2
fuck	9	1	16	kendrickLamar	moscato2
make	0	2	16	kendrickLamar	moscato2
money	1	2	16	kendrickLamar	moscato2
flip	2	2	16	kendrickLamar	moscato2
make	6	2	16	kendrickLamar	moscato2
money	7	2	16	kendrickLamar	moscato2
red	13	3	16	kendrickLamar	moscato2
beam	14	3	16	kendrickLamar	moscato2
body	5	4	16	kendrickLamar	moscato2
cream	6	4	16	kendrickLamar	moscato2
body	13	4	16	kendrickLamar	moscato2
screen	14	4	16	kendrickLamar	moscato2
ain't	0	5	16	kendrickLamar	moscato2
nothin	1	5	16	kendrickLamar	moscato2
changed	2	5	16	kendrickLamar	moscato2
no	0	8	16	kendrickLamar	oppositesAttract1
hennesy	1	8	16	kendrickLamar	oppositesAttract1
hennesy	2	8	16	kendrickLamar	oppositesAttract1
fuck	11	13	16	kendrickLamar	oppositesAttract1
cuz	2	6	16	kendrickLamar	oppositesAttract1
i	3	6	16	kendrickLamar	poeMansDreams2
don't	4	6	16	kendrickLamar	poeMansDreams2
got	6	9	16	kendrickLamar	poeMansDreams2
it	7	9	16	kendrickLamar	poeMansDreams2
street	8	1	16	kendrickLamar	poeMansDreams2
nig	9	1	16	kendrickLamar	poeMansDreams2
with	14	2	16	kendrickLamar	poeMansDreams2
ya	15	2	16	kendrickLamar	poeMansDreams2
with	14	3	16	kendrickLamar	poeMansDreams2
ya	15	3	16	kendrickLamar	poeMansDreams2
with	14	4	16	kendrickLamar	poeMansDreams2
ya	15	4	16	kendrickLamar	poeMansDreams2
with	14	5	16	kendrickLamar	poeMansDreams2
ya	15	5	16	kendrickLamar	poeMansDreams2
it	15	8	16	kendrickLamar	poeMansDreams2
to	6	11	16	kendrickLamar	poeMansDreams2
make	7	11	16	kendrickLamar	poeMansDreams2
be	4	12	16	kendrickLamar	poeMansDreams2
more	5	12	16	kendrickLamar	rockTheBells2
that	6	22	16	kendrickLamar	rockTheBells2
min-	7	22	16	kendrickLamar	rockTheBells2
ute	8	22	16	kendrickLamar	rockTheBells2
in	2	2	16	kendrickLamar	rockTheBells2
on	14	4	16	kendrickLamar	rockTheBells2
shit	15	4	16	kendrickLamar	rockTheBells2
