syllable	position	measure	cardinality	corpus	verse
is	7	16	16	blackThought	koolOn2
who	4	4	16	blackThought	koolOn2
e	5	4	16	blackThought	koolOn2
with-	6	5	16	blackThought	longTime3
out	7	5	16	blackThought	longTime3
close	9	16	16	blackThought	longTime3
to	10	16	16	blackThought	longTime3
re	2	2	16	blackThought	longTime3
cord	3	2	16	blackThought	longTime3
dig	8	3	16	blackThought	longTime3
on	9	3	16	blackThought	longTime3
ment	14	8	16	blackThought	myFavoriteMutiny
though	15	8	16	blackThought	myFavoriteMutiny
see	8	14	16	blackThought	myFavoriteMutiny
no	9	14	16	blackThought	myFavoriteMutiny
de-	6	2	16	blackThought	myFavoriteMutiny
serts	7	2	16	blackThought	myFavoriteMutiny
de-	8	7	16	blackThought	myFavoriteMutiny
troit	9	7	16	blackThought	myFavoriteMutiny
coup	12	11	16	blackThought	radioDaze3
in	13	11	16	blackThought	radioDaze3
ring	1	12	16	blackThought	radioDaze3
the	2	12	16	blackThought	radioDaze3
too	2	1	16	blackThought	radioDaze3
much	3	1	16	blackThought	radioDaze3
through	0	2	16	blackThought	radioDaze3
things	1	2	16	blackThought	radioDaze3
blue	0	4	16	blackThought	radioDaze3
flame	1	4	16	blackThought	radioDaze3
stuck	4	6	16	blackThought	respiration
with	5	6	16	blackThought	respiration
TRUE	4	12	16	blackThought	respiration
pain	5	12	16	blackThought	respiration
book	12	3	16	blackThought	respiration
out	13	3	16	blackThought	respiration
stay	2	4	16	blackThought	respiration
on	3	4	16	blackThought	respiration
hook	12	4	16	blackThought	respiration
out	13	4	16	blackThought	respiration
bang	4	5	16	blackThought	respiration
out	5	5	16	blackThought	respiration
thang	12	5	16	blackThought	respiration
out	13	5	16	blackThought	respiration
and	2	6	16	blackThought	respiration
hit	3	6	16	blackThought	respiration
him	4	6	16	blackThought	respiration
came	12	6	16	blackThought	respiration
out	13	6	16	blackThought	respiration
line	12	10	16	blackThought	respiration
man	4	14	16	blackThought	respiration
said	5	14	16	blackThought	respiration
been	12	14	16	blackThought	respiration
at	13	14	16	blackThought	respiration
in	12	15	16	blackThought	respiration
that	13	15	16	blackThought	respiration
friend	12	16	16	blackThought	respiration
at	13	16	16	blackThought	respiration
tate	4	17	16	blackThought	respiration
ain't	5	17	16	blackThought	respiration
to	9	17	16	blackThought	respiration
grin	10	17	16	blackThought	respiration
at	11	17	16	blackThought	respiration
been	14	17	16	blackThought	rightNow
at	15	17	16	blackThought	rightNow
fin-	12	20	16	blackThought	rightNow
ite	13	20	16	blackThought	rightNow
pet	14	3	16	blackThought	rightNow
to	8	5	16	blackThought	rightNow
get	9	5	16	blackThought	rightNow
to	10	5	16	blackThought	rightNow
to	1	8	16	blackThought	rightNow
dump	2	8	16	blackThought	rightNow
that	3	8	16	blackThought	rightNow
we	8	17	16	blackThought	rightNow
all	9	17	16	blackThought	rightNow
free	8	18	16	blackThought	rightNow
y'all	9	18	16	blackThought	rightNow
eat	8	19	16	blackThought	riseUp
all	9	19	16	blackThought	riseUp
get	9	24	16	blackThought	riseUp
it	10	24	16	blackThought	riseUp
my	14	5	16	blackThought	riseUp
sword	15	5	16	blackThought	riseUp
in	0	6	16	blackThought	riseUp
the	6	7	16	blackThought	riseUp
