artist	title	m1	b1	bpm	db0	db8	tranche	transcription	TextGrid	artistOriginYear	era	songYear	album	region	type	bestOf
techN9ne	strangeUnswung	0	0	NA	NA	NA	didactic	NA	NA	NA	NA	NA	NA	NA	undetermined	
ti	sorry	0	0.5	NA	NA	NA	didactic	NA	NA	NA	NA	NA	NA	NA	undetermined	
twista	sayWhat	-1	3.5	NA	NA	NA	didactic	NA	NA	NA	NA	NA	NA	NA	undetermined	
bigBoi	mainstream4	0	0	94	NA	NA	exploratory	0	0		NA	NA	NA	NA	undetermined	
blu	coldHearted	-1	2	NA	NA	NA	exploratory	0	NA	NA	NA	NA	NA	NA	undetermined	
blu	theNarrowPath1	-1	3	NA	NA	NA	exploratory	0	NA	NA	NA	NA	NA	NA	undetermined	
common	be	-1	2.75	NA	NA	NA	exploratory	0	NA	NA	NA	NA	NA	NA	undetermined	
dannyBrown	pacBlood1	-1	3.75	NA	NA	NA	exploratory	0	NA	NA	NA	NA	NA	NA	undetermined	
dannyBrown	pacBlood2	-1	3.75	NA	NA	NA	exploratory	0	NA	NA	NA	NA	NA	NA	undetermined	
gregPorn	stomp2	-1	3	88.5	NA	NA	exploratory	0	0	NA	NA	NA	NA	NA	undetermined	
kanyeWest	allFallsDown3	-1	3.25	NA	NA	NA	exploratory	0	0	NA	NA	NA	NA	NA	undetermined	
kanyeWest	gorgeous3	-1	3.25	NA	NA	NA	exploratory	0	0	NA	NA	NA	NA	NA	undetermined	
kendrickLamar	goodKid1	-1	0	NA	NA	NA	exploratory	0	0	NA	NA	NA	NA	NA	undetermined	
khujo	mainstream3	0	0.25	94	NA	NA	exploratory	0	0		NA	NA	NA	NA	undetermined	
phonte	oneTime1	-1	2.75	87	NA	NA	exploratory	0	0	NA	NA	NA	NA	NA	undetermined	
phonte	theDay3	0	1.5	95	NA	NA	exploratory	0	0		NA	NA	NA	NA	undetermined	
tupac	dearMama1	-1	3.25	84	NA	NA	exploratory	0	0		NA	NA	NA	NA	undetermined	
eminem	loseYourself1	-1	3.25	80.5	NA	NA	otherEminem	0	NA	NA	NA	NA	NA	NA	undetermined	
t-mo	mainstream1	-1	2.5	94	NA	NA	t-mo	0	0	NA	NA	NA	NA	NA	undetermined	
t-mo	allAs	-1	3.25	NA	NA	NA	t-mo	0	0	NA	NA	NA	NA	NA	undetermined	
t-mo	cellTherapy	-1	3.5	NA	NA	NA	t-mo	0	0	NA	NA	NA	NA	NA	undetermined	
t-mo	cuttyBuddy	-1	3.25	NA	NA	NA	t-mo	0	0	NA	NA	NA	NA	NA	undetermined	
t-mo	distantWilderness	-1	1.25	NA	NA	NA	t-mo	0	0	NA	NA	NA	NA	NA	undetermined	
t-mo	flyAway	0	0.5	NA	NA	NA	t-mo	0	0		NA	NA	NA	NA	undetermined	
t-mo	getRichToThis	-1	3.5	NA	NA	NA	t-mo	0	0	NA	NA	NA	NA	NA	undetermined	
t-mo	greenyGreen	-1	3.75	NA	NA	NA	t-mo	0	0	NA	NA	NA	NA	NA	undetermined	
t-mo	holdOn2	-1	3.25	NA	NA	NA	t-mo	0	0	NA	NA	NA	NA	NA	undetermined	
t-mo	inshullah	-1	3	NA	NA	NA	t-mo	0	0	NA	NA	NA	NA	NA	undetermined	
t-mo	iRefuseLimitation	-1	3.5	NA	NA	NA	t-mo	0	0	NA	NA	NA	NA	NA	undetermined	
andre3k	gasoline1	-1	1.75	96	NA	NA	andre3k	1	NA	NA	NA	2000	Stankonia	south	undetermined	
andre3k	questionMark1	0	1	99	NA	NA	andre3k	1	NA	NA	NA	2000	Stankonia	south	undetermined	
andre3k	xplosion1	0	0.25	102	NA	NA	andre3k	1	NA	NA	NA	2000	Stankonia	south	undetermined	
andre3k	humbleMumble1	0	0.25	112	NA	NA	andre3k	1	NA	NA	NA	2000	Stankonia	south	undetermined	
andre3k	gangstaShit5	-1	3.5	126	NA	NA	andre3k	1	NA	NA	NA	2000	Stankonia	south	undetermined	
